MUNICIPIO;QUANTIDADE
150600 Prainha;219
150610 Primavera;96
150611 Quatipuru;89
150613 Redenção;1103
150616 Rio Maria;178
150618 Rondon do Pará;320
150619 Rurópolis;302
150620 Salinópolis;394
150630 Salvaterra;130
150635 Santa Bárbara do Pará;161
150640 Santa Cruz do Arari;88
150650 Santa Izabel do Pará;480
150655 Santa Luzia do Pará;153
150658 Santa Maria das Barreiras;179
150660 Santa Maria do Pará;228
150670 Santana do Araguaia;372
150680 Santarém;3624
150690 Santarém Novo;108
150700 Santo Antônio do Tauá;211
150710 São Caetano de Odivelas;147
150715 São Domingos do Araguaia;173
150720 São Domingos do Capim;346
150730 São Félix do Xingu;858
150740 São Francisco do Pará;171
150745 São Geraldo do Araguaia;222
150746 São João da Ponta;61
150747 São João de Pirabas;163
150750 São João do Araguaia;116
150760 São Miguel do Guamá;457
150770 São Sebastião da Boa Vista;178
150775 Sapucaia;82
150780 Senador José Porfírio;122
150790 Soure;189
150795 Tailândia;710
150796 Terra Alta;104
150797 Terra Santa;178
150800 Tomé-Açu;421
150803 Tracuateua;197
150805 Trairão;131
150808 Tucumã;399
150810 Tucuruí;1501
150812 Ulianópolis;443
150815 Uruará;287
150820 Vigia;295
150830 Viseu;364
150835 Vitória do Xingu;219
150840 Xinguara;536
160010 Amapá;143
160020 Calçoene;161
160021 Cutias;109
160023 Ferreira Gomes;215
160025 Itaubal;73
160027 Laranjal do Jari;541
160030 Macapá;7934
160040 Mazagão;242
160050 Oiapoque;296
160015 Pedra Branca do Amapari;207
160053 Porto Grande;324
160055 Pracuúba;61
160060 Santana;1209
160005 Serra do Navio;99
160070 Tartarugalzinho;233
160080 Vitória do Jari;160
170025 Abreulândia;49
170030 Aguiarnópolis;63
170035 Aliança do Tocantins;61
170040 Almas;103
170070 Alvorada;167
170100 Ananás;131
170105 Angico;57
170110 Aparecida do Rio Negro;48
170130 Aragominas;88
170190 Araguacema;63
170200 Araguaçu;138
170210 Araguaína;4347
170215 Araguanã;98
170220 Araguatins;343
170230 Arapoema;165
170240 Arraias;249
170255 Augustinópolis;378
170270 Aurora do Tocantins;44
170290 Axixá do Tocantins;92
170300 Babaçulândia;94
170305 Bandeirantes do Tocantins;60
170307 Barra do Ouro;43
170310 Barrolândia;71
170320 Bernardo Sayão;44
170330 Bom Jesus do Tocantins;37
170360 Brasilândia do Tocantins;29
170370 Brejinho de Nazaré;83
170380 Buriti do Tocantins;115
170382 Cachoeirinha;33
170384 Campos Lindos;100
170386 Cariri do Tocantins;63
170388 Carmolândia;35
170389 Carrasco Bonito;86
170390 Caseara;47
170410 Centenário;41
170510 Chapada da Natividade;58
170460 Chapada de Areia;29
170550 Colinas do Tocantins;389
171670 Colméia;92
170555 Combinado;63
170560 Conceição do Tocantins;59
170600 Couto Magalhães;57
170610 Cristalândia;81
170625 Crixás do Tocantins;24
170650 Darcinópolis;52
170700 Dianópolis;169
170710 Divinópolis do Tocantins;99
170720 Dois Irmãos do Tocantins;92
170730 Dueré;99
170740 Esperantina;84
170755 Fátima;63
170765 Figueirópolis;60
170770 Filadélfia;94
170820 Formoso do Araguaia;208
170825 Fortaleza do Tabocão;63
170830 Goianorte;65
170900 Goiatins;123
170930 Guaraí;503
170950 Gurupi;1414
170980 Ipueiras;32
171050 Itacajá;138
171070 Itaguatins;70
171090 Itapiratins;52
171110 Itaporã do Tocantins;43
171150 Jaú do Tocantins;44
171180 Juarina;33
171190 Lagoa da Confusão;90
171195 Lagoa do Tocantins;57
171200 Lajeado;87
171215 Lavandeira;37
171240 Lizarda;39
171245 Luzinópolis;52
171250 Marianópolis do Tocantins;78
171270 Mateiros;30
171280 Maurilândia do Tocantins;47
171320 Miracema do Tocantins;571
171330 Miranorte;147
171360 Monte do Carmo;99
171370 Monte Santo do Tocantins;30
171395 Muricilândia;56
171420 Natividade;105
171430 Nazaré;60
171488 Nova Olinda;112
171500 Nova Rosalândia;78
171510 Novo Acordo;54
171515 Novo Alegre;59
171525 Novo Jardim;46
171550 Oliveira de Fátima;30
172100 Palmas;7558
171570 Palmeirante;76
171380 Palmeiras do Tocantins;63
171575 Palmeirópolis;118
171610 Paraíso do Tocantins;940
171620 Paranã;139
171630 Pau D'Arco;71
171650 Pedro Afonso;272
171660 Peixe;221
171665 Pequizeiro;66
171700 Pindorama do Tocantins;55
171720 Piraquê;50
171750 Pium;93
171780 Ponte Alta do Bom Jesus;57
171790 Ponte Alta do Tocantins;107
171800 Porto Alegre do Tocantins;45
171820 Porto Nacional;1355
171830 Praia Norte;89
171840 Presidente Kennedy;51
171845 Pugmil;37
171850 Recursolândia;50
171855 Riachinho;52
171865 Rio da Conceição;51
171870 Rio dos Bois;39
171875 Rio Sono;80
171880 Sampaio;43
171884 Sandolândia;40
171886 Santa Fé do Araguaia;90
171888 Santa Maria do Tocantins;45
171889 Santa Rita do Tocantins;36
171890 Santa Rosa do Tocantins;62
171900 Santa Tereza do Tocantins;47
172000 Santa Terezinha do Tocantins;31
172010 São Bento do Tocantins;69
172015 São Félix do Tocantins;33
172020 São Miguel do Tocantins;113
172025 São Salvador do Tocantins;51
172030 São Sebastião do Tocantins;65
172049 São Valério;63
172065 Silvanópolis;90
172080 Sítio Novo do Tocantins;176
172085 Sucupira;20
172090 Taguatinga;183
172093 Taipas do Tocantins;36
172097 Talismã;56
172110 Tocantínia;122
172120 Tocantinópolis;300
172125 Tupirama;39
172130 Tupiratins;34
172208 Wanderlândia;97
172210 Xambioá;196
210005 Açailândia;1105
210010 Afonso Cunha;73
210015 Água Doce do Maranhão;98
210020 Alcântara;200
210030 Aldeias Altas;197
210040 Altamira do Maranhão;117
210043 Alto Alegre do Maranhão;345
210047 Alto Alegre do Pindaré;312
210050 Alto Parnaíba;130
210055 Amapá do Maranhão;67
210060 Amarante do Maranhão;600
210070 Anajatuba;275
210080 Anapurus;124
210083 Apicum-Açu;120
210087 Araguanã;126
210090 Araioses;305
210095 Arame;295
210100 Arari;278
210110 Axixá;156
210120 Bacabal;1409
210125 Bacabeira;151
210130 Bacuri;172
210135 Bacurituba;65
210140 Balsas;1253
210150 Barão de Grajaú;216
210160 Barra do Corda;969
210170 Barreirinhas;532
210177 Bela Vista do Maranhão;90
210173 Belágua;105
210180 Benedito Leite;94
210190 Bequimão;156
210193 Bernardo do Mearim;57
210197 Boa Vista do Gurupi;67
210200 Bom Jardim;402
210203 Bom Jesus das Selvas;346
210207 Bom Lugar;103
210210 Brejo;239
210215 Brejo de Areia;65
210220 Buriti;262
210230 Buriti Bravo;205
210232 Buriticupu;698
210235 Buritirana;101
210237 Cachoeira Grande;75
210240 Cajapió;131
210250 Cajari;148
210255 Campestre do Maranhão;126
210260 Cândido Mendes;177
210270 Cantanhede;198
210275 Capinzal do Norte;151
210280 Carolina;253
210290 Carutapera;324
210300 Caxias;2978
210310 Cedral;116
210312 Central do Maranhão;59
210315 Centro do Guilherme;92
210317 Centro Novo do Maranhão;202
210320 Chapadinha;811
210325 Cidelândia;128
210330 Codó;1546
210340 Coelho Neto;618
210350 Colinas;531
210355 Conceição do Lago-Açu;117
210360 Coroatá;937
210370 Cururupu;471
210375 Davinópolis;123
210380 Dom Pedro;263
210390 Duque Bacelar;116
210400 Esperantinópolis;188
210405 Estreito;385
210407 Feira Nova do Maranhão;71
210408 Fernando Falcão;130
210409 Formosa da Serra Negra;151
210410 Fortaleza dos Nogueiras;95
210420 Fortuna;135
210430 Godofredo Viana;101
210440 Gonçalves Dias;156
210450 Governador Archer;84
210455 Governador Edison Lobão;198
210460 Governador Eugênio Barros;139
210462 Governador Luiz Rocha;73
210465 Governador Newton Bello;138
210467 Governador Nunes Freire;285
210470 Graça Aranha;56
210480 Grajaú;691
210490 Guimarães;124
210500 Humberto de Campos;233
210510 Icatu;208
210515 Igarapé do Meio;147
210520 Igarapé Grande;119
210530 Imperatriz;4739
210535 Itaipava do Grajaú;154
210540 Itapecuru Mirim;682
210542 Itinga do Maranhão;215
210545 Jatobá;105
210547 Jenipapo dos Vieiras;207
210550 João Lisboa;269
210560 Joselândia;175
210565 Junco do Maranhão;64
210570 Lago da Pedra;381
210580 Lago do Junco;154
210594 Lago dos Rodrigues;102
210590 Lago Verde;105
210592 Lagoa do Mato;118
210596 Lagoa Grande do Maranhão;109
210598 Lajeado Novo;47
210600 Lima Campos;172
210610 Loreto;108
210620 Luís Domingues;95
210630 Magalhães de Almeida;161
210632 Maracaçumé;144
210635 Marajá do Sena;58
210637 Maranhãozinho;111
210640 Mata Roma;167
210650 Matinha;171
210660 Matões;347
210663 Matões do Norte;160
210667 Milagres do Maranhão;64
210670 Mirador;307
210675 Miranda do Norte;242
210680 Mirinzal;126
210690 Monção;408
210700 Montes Altos;87
210710 Morros;248
210720 Nina Rodrigues;137
210725 Nova Colinas;56
210730 Nova Iorque;51
210735 Nova Olinda do Maranhão;173
210740 Olho d'Água das Cunhãs;112
210745 Olinda Nova do Maranhão;152
210750 Paço do Lumiar;770
210760 Palmeirândia;194
210770 Paraibano;192
210780 Parnarama;431
210790 Passagem Franca;226
210800 Pastos Bons;200
210805 Paulino Neves;168
210810 Paulo Ramos;147
210820 Pedreiras;687
210825 Pedro do Rosário;233
210830 Penalva;364
210840 Peri Mirim;111
210845 Peritoró;449
210850 Pindaré-Mirim;220
210860 Pinheiro;1130
210870 Pio XII;217
210880 Pirapemas;201
210890 Poção de Pedras;175
210900 Porto Franco;328
210905 Porto Rico do Maranhão;92
210910 Presidente Dutra;884
210920 Presidente Juscelino;103
210923 Presidente Médici;75
210927 Presidente Sarney;163
210930 Presidente Vargas;176
210940 Primeira Cruz;121
210945 Raposa;235
210950 Riachão;134
210955 Ribamar Fiquene;90
210960 Rosário;344
210970 Sambaíba;63
210975 Santa Filomena do Maranhão;75
210980 Santa Helena;336
210990 Santa Inês;965
211000 Santa Luzia;659
211003 Santa Luzia do Paruá;209
211010 Santa Quitéria do Maranhão;280
211020 Santa Rita;401
211023 Santana do Maranhão;96
211027 Santo Amaro do Maranhão;108
211030 Santo Antônio dos Lopes;155
211040 São Benedito do Rio Preto;212
211050 São Bento;286
211060 São Bernardo;191
211065 São Domingos do Azeitão;93
211070 São Domingos do Maranhão;312
211080 São Félix de Balsas;65
211085 São Francisco do Brejão;103
211090 São Francisco do Maranhão;133
211100 São João Batista;191
211102 São João do Carú;150
211105 São João do Paraíso;98
211107 São João do Soter;178
211110 São João dos Patos;315
211120 São José de Ribamar;1220
211125 São José dos Basílios;92
211130 São Luís;22901
211140 São Luís Gonzaga do Maranhão;189
211150 São Mateus do Maranhão;344
211153 São Pedro da Água Branca;128
211157 São Pedro dos Crentes;89
211160 São Raimundo das Mangabeiras;192
211163 São Raimundo do Doca Bezerra;79
211167 São Roberto;70
211170 São Vicente Ferrer;175
211172 Satubinha;112
211174 Senador Alexandre Costa;88
211176 Senador La Rocque;207
211178 Serrano do Maranhão;107
211180 Sítio Novo;211
211190 Sucupira do Norte;101
211195 Sucupira do Riachão;50
211200 Tasso Fragoso;111
211210 Timbiras;346
211220 Timon;1646
211223 Trizidela do Vale;172
211227 Tufilândia;83
211230 Tuntum;452
211240 Turiaçu;310
211245 Turilândia;179
211250 Tutóia;320
211260 Urbano Santos;217
211270 Vargem Grande;453
211280 Viana;496
211285 Vila Nova dos Martírios;116
211290 Vitória do Mearim;305
211300 Vitorino Freire;271
211400 Zé Doca;407
220005 Acauã;55
220010 Agricolândia;54
220020 Água Branca;220
220025 Alagoinha do Piauí;62
220027 Alegrete do Piauí;46
220030 Alto Longá;105
220040 Altos;385
220045 Alvorada do Gurguéia;48
220050 Amarante;214
220060 Angical do Piauí;104
220070 Anísio de Abreu;96
220080 Antônio Almeida;38
220090 Aroazes;61
220095 Aroeiras do Itaim;23
220100 Arraial;51
220105 Assunção do Piauí;66
220110 Avelino Lopes;126
220115 Baixa Grande do Ribeiro;107
220117 Barra D'Alcântara;43
220120 Barras;425
220130 Barreiras do Piauí;28
220140 Barro Duro;67
220150 Batalha;196
220155 Bela Vista do Piauí;45
220157 Belém do Piauí;29
220160 Beneditinos;109
220170 Bertolínia;80
220173 Betânia do Piauí;79
220177 Boa Hora;53
220180 Bocaina;51
220190 Bom Jesus;396
