MUNICIPIO;QUANTIDADE
150600 Prainha;223
150610 Primavera;108
150611 Quatipuru;86
150613 Redenção;1141
150616 Rio Maria;182
150618 Rondon do Pará;321
150619 Rurópolis;304
150620 Salinópolis;414
150630 Salvaterra;131
150635 Santa Bárbara do Pará;181
150640 Santa Cruz do Arari;88
150650 Santa Izabel do Pará;557
150655 Santa Luzia do Pará;154
150658 Santa Maria das Barreiras;181
150660 Santa Maria do Pará;235
150670 Santana do Araguaia;373
150680 Santarém;3915
150690 Santarém Novo;109
150700 Santo Antônio do Tauá;226
150710 São Caetano de Odivelas;144
150715 São Domingos do Araguaia;172
150720 São Domingos do Capim;360
150730 São Félix do Xingu;868
150740 São Francisco do Pará;169
150745 São Geraldo do Araguaia;224
150746 São João da Ponta;61
150747 São João de Pirabas;164
150750 São João do Araguaia;118
150760 São Miguel do Guamá;505
150770 São Sebastião da Boa Vista;177
150775 Sapucaia;81
150780 Senador José Porfírio;112
150790 Soure;186
150795 Tailândia;650
150796 Terra Alta;107
150797 Terra Santa;173
150800 Tomé-Açu;427
150803 Tracuateua;213
150805 Trairão;130
150808 Tucumã;424
150810 Tucuruí;1543
150812 Ulianópolis;460
150815 Uruará;294
150820 Vigia;311
150830 Viseu;408
150835 Vitória do Xingu;239
150840 Xinguara;538
160010 Amapá;216
160020 Calçoene;157
160021 Cutias;116
160023 Ferreira Gomes;220
160025 Itaubal;80
160027 Laranjal do Jari;568
160030 Macapá;8061
160040 Mazagão;240
160050 Oiapoque;305
160015 Pedra Branca do Amapari;231
160053 Porto Grande;344
160055 Pracuúba;59
160060 Santana;1258
160005 Serra do Navio;106
160070 Tartarugalzinho;242
160080 Vitória do Jari;163
170025 Abreulândia;49
170030 Aguiarnópolis;62
170035 Aliança do Tocantins;62
170040 Almas;104
170070 Alvorada;177
170100 Ananás;126
170105 Angico;58
170110 Aparecida do Rio Negro;50
170130 Aragominas;93
170190 Araguacema;65
170200 Araguaçu;198
170210 Araguaína;4481
170215 Araguanã;101
170220 Araguatins;357
170230 Arapoema;171
170240 Arraias;257
170255 Augustinópolis;567
170270 Aurora do Tocantins;42
170290 Axixá do Tocantins;94
170300 Babaçulândia;95
170305 Bandeirantes do Tocantins;61
170307 Barra do Ouro;43
170310 Barrolândia;72
170320 Bernardo Sayão;43
170330 Bom Jesus do Tocantins;36
170360 Brasilândia do Tocantins;28
170370 Brejinho de Nazaré;83
170380 Buriti do Tocantins;115
170382 Cachoeirinha;28
170384 Campos Lindos;100
170386 Cariri do Tocantins;67
170388 Carmolândia;35
170389 Carrasco Bonito;86
170390 Caseara;48
170410 Centenário;43
170510 Chapada da Natividade;61
170460 Chapada de Areia;30
170550 Colinas do Tocantins;383
171670 Colméia;92
170555 Combinado;64
170560 Conceição do Tocantins;62
170600 Couto Magalhães;60
170610 Cristalândia;82
170625 Crixás do Tocantins;24
170650 Darcinópolis;53
170700 Dianópolis;342
170710 Divinópolis do Tocantins;103
170720 Dois Irmãos do Tocantins;94
170730 Dueré;106
170740 Esperantina;84
170755 Fátima;71
170765 Figueirópolis;58
170770 Filadélfia;100
170820 Formoso do Araguaia;213
170825 Fortaleza do Tabocão;64
170830 Goianorte;64
170900 Goiatins;126
170930 Guaraí;513
170950 Gurupi;1879
170980 Ipueiras;35
171050 Itacajá;135
171070 Itaguatins;69
171090 Itapiratins;52
171110 Itaporã do Tocantins;44
171150 Jaú do Tocantins;45
171180 Juarina;35
171190 Lagoa da Confusão;94
171195 Lagoa do Tocantins;61
171200 Lajeado;90
171215 Lavandeira;35
171240 Lizarda;39
171245 Luzinópolis;53
171250 Marianópolis do Tocantins;81
171270 Mateiros;28
171280 Maurilândia do Tocantins;50
171320 Miracema do Tocantins;578
171330 Miranorte;145
171360 Monte do Carmo;102
171370 Monte Santo do Tocantins;29
171395 Muricilândia;55
171420 Natividade;107
171430 Nazaré;62
171488 Nova Olinda;114
171500 Nova Rosalândia;76
171510 Novo Acordo;55
171515 Novo Alegre;62
171525 Novo Jardim;45
171550 Oliveira de Fátima;35
172100 Palmas;7655
171570 Palmeirante;81
171380 Palmeiras do Tocantins;67
171575 Palmeirópolis;113
171610 Paraíso do Tocantins;947
171620 Paranã;135
