MUNICIPIO;QUANTIDADE
110001 Alta Floresta D'Oeste;335
110037 Alto Alegre dos Parecis;104
110040 Alto Paraíso;162
110034 Alvorada D'Oeste;127
110002 Ariquemes;1309
110045 Buritis;369
110003 Cabixi;98
110060 Cacaulândia;53
110004 Cacoal;2266
110070 Campo Novo de Rondônia;163
110080 Candeias do Jamari;213
110090 Castanheiras;79
110005 Cerejeiras;219
110092 Chupinguaia;143
110006 Colorado do Oeste;207
110007 Corumbiara;115
110008 Costa Marques;115
110094 Cujubim;104
110009 Espigão D'Oeste;270
110100 Governador Jorge Teixeira;120
110010 Guajará-Mirim;659
110110 Itapuã do Oeste;126
110011 Jaru;678
110012 Ji-Paraná;1712
110013 Machadinho D'Oeste;333
110120 Ministro Andreazza;112
110130 Mirante da Serra;81
110140 Monte Negro;126
110014 Nova Brasilândia D'Oeste;141
110033 Nova Mamoré;258
110143 Nova União;45
110050 Novo Horizonte do Oeste;94
110015 Ouro Preto do Oeste;321
110145 Parecis;61
110018 Pimenta Bueno;548
110146 Pimenteiras do Oeste;48
110020 Porto Velho;10436
110025 Presidente Médici;231
110147 Primavera de Rondônia;71
110026 Rio Crespo;55
110028 Rolim de Moura;543
110029 Santa Luzia D'Oeste;83
110148 São Felipe D'Oeste;88
110149 São Francisco do Guaporé;266
110032 São Miguel do Guaporé;157
110150 Seringueiras;105
110155 Teixeirópolis;38
110160 Theobroma;168
110170 Urupá;94
110175 Vale do Anari;99
110180 Vale do Paraíso;81
110030 Vilhena;1552
120001 Acrelândia;164
120005 Assis Brasil;126
120010 Brasiléia;426
120013 Bujari;82
120017 Capixaba;103
120020 Cruzeiro do Sul;1496
120025 Epitaciolândia;141
120030 Feijó;211
120032 Jordão;128
120033 Mâncio Lima;218
120034 Manoel Urbano;108
120035 Marechal Thaumaturgo;206
120038 Plácido de Castro;344
120080 Porto Acre;100
120039 Porto Walter;139
120040 Rio Branco;6724
120042 Rodrigues Alves;174
120043 Santa Rosa do Purus;101
120050 Sena Madureira;525
120045 Senador Guiomard;228
120060 Tarauacá;308
120070 Xapuri;190
130002 Alvarães;265
130006 Amaturá;212
130008 Anamã;220
130010 Anori;169
130014 Apuí;234
130020 Atalaia do Norte;341
130030 Autazes;478
130040 Barcelos;449
130050 Barreirinha;421
130060 Benjamin Constant;513
130063 Beruri;186
130068 Boa Vista do Ramos;254
130070 Boca do Acre;453
130080 Borba;563
130083 Caapiranga;203
130090 Canutama;166
130100 Carauari;256
130110 Careiro;414
130115 Careiro da Várzea;299
130120 Coari;945
130130 Codajás;255
130140 Eirunepé;503
130150 Envira;261
130160 Fonte Boa;332
130165 Guajará;212
130170 Humaitá;755
130180 Ipixuna;280
130185 Iranduba;712
130190 Itacoatiara;1578
130195 Itamarati;127
130200 Itapiranga;110
130210 Japurá;183
130220 Juruá;151
130230 Jutaí;350
130240 Lábrea;599
130250 Manacapuru;1117
130255 Manaquiri;199
130260 Manaus;32997
130270 Manicoré;485
130280 Maraã;226
130290 Maués;555
130300 Nhamundá;277
130310 Nova Olinda do Norte;331
130320 Novo Airão;281
130330 Novo Aripuanã;242
130340 Parintins;1283
130350 Pauini;261
130353 Presidente Figueiredo;461
130356 Rio Preto da Eva;501
130360 Santa Isabel do Rio Negro;276
130370 Santo Antônio do Içá;394
130380 São Gabriel da Cachoeira;788
130390 São Paulo de Olivença;611
130395 São Sebastião do Uatumã;166
130400 Silves;192
130406 Tabatinga;1169
130410 Tapauá;334
130420 Tefé;970
130423 Tonantins;306
130426 Uarini;220
130430 Urucará;243
130440 Urucurituba;296
140005 Alto Alegre;419
140002 Amajari;203
140010 Boa Vista;6369
140015 Bonfim;199
140017 Cantá;179
140020 Caracaraí;274
140023 Caroebe;134
140028 Iracema;181
140030 Mucajaí;253
140040 Normandia;146
140045 Pacaraima;202
140047 Rorainópolis;391
140050 São João da Baliza;106
140060 São Luiz;124
140070 Uiramutã;189
150010 Abaetetuba;1198
150013 Abel Figueiredo;113
150020 Acará;360
150030 Afuá;219
150034 Água Azul do Norte;247
150040 Alenquer;340
150050 Almeirim;328
150060 Altamira;1881
150070 Anajás;338
150080 Ananindeua;4827
150085 Anapu;247
150090 Augusto Corrêa;330
150095 Aurora do Pará;237
150100 Aveiro;120
150110 Bagre;172
150120 Baião;295
150125 Bannach;73
150130 Barcarena;1173
150140 Belém;19574
150145 Belterra;152
150150 Benevides;418
150157 Bom Jesus do Tocantins;145
150160 Bonito;98
150170 Bragança;1075
150172 Brasil Novo;199
150175 Brejo Grande do Araguaia;91
150178 Breu Branco;375
150180 Breves;1014
150190 Bujaru;199
150200 Cachoeira do Arari;141
150195 Cachoeira do Piriá;196
150210 Cametá;1044
150215 Canaã dos Carajás;881
150220 Capanema;781
150230 Capitão Poço;431
150240 Castanhal;1857
150250 Chaves;141
